"Attribute";"Frage";"Antwort1";"Antwort2";"Antwort2"
;"dunda";"x1 gives x2 to x3 (without payment)";"selbri";
;"pelxu";"x1 is yellow";"selbri";
;"zdani";"x1 is a home of x2";"selbri";
;"mi";"I or we – the one ot those who are speaking";"sumti";
;"ti";"This – a closething or event nearby which can be pointed to by the speaker";;
;"do";"You – the one or those who are being spoken to";;
