"Attribute";"Frage";"Antwort1";"Antwort2";"Antwort2"
;"Sound of a";"father";"large";".abu"
;"Sound of e";"get";"gem";".ebu"
;"Sound of i";"machine";"scream";".ibu"
;"Sound of o";"bold";"more";".obu"
;"Sound of u";"cool";"tool";".ubu"
