"Attribute";"Frage";"Antwort1";"Antwort2";"Antwort3"
;"vecnu";"x1 sells x2 tox3 for price x4";"selbri";
;"zo'e";"something;fills a sumti place withsomething, butdoesnot state what";;
;"fa";"Tags the following sumti as filling x1";;
;"fe";"Tags the following sumti as filling x2";;
;"fi";"Tags the following sumti as filling x3";;
;"fo";"Tags the following sumti as filling x4";;
;"fu";"Tags the following sumti as filling x5";;
